ID,PB_MEAN(kcal/mol),PB_STD,GB_MEAN(kcal/mol),GB_STD
AG-680_20240026,-14.78,3.40,-17.72,2.43
AO-022_43512973,-27.70,3.60,-31.19,3.08
AO-022_42667039,-20.38,5.66,-30.48,3.27
AG-690_11638093,-21.76,4.42,-25.26,2.57
AE-641_00605007,-30.26,3.01,-32.05,2.50
AO-022_43452819,-22.41,3.50,-22.71,2.15
AK-778_41314810,-23.50,2.73,-26.19,2.11
AK-778_41507547,-24.98,2.94,-23.99,2.36
AN-652_42205089,-21.37,2.46,-21.49,1.69
AO-022_43513996,-17.27,4.65,-22.75,2.69
AH-262_11186011,-23.52,4.09,-30.23,3.02
AG-205_37159130,-20.00,4.47,-26.37,2.71
AH-262_34902032,-18.51,3.54,-20.25,2.82
AO-022_43514153,-19.54,3.39,-21.67,2.25
AK-778_40897583,-23.43,4.25,-21.96,2.57
AO-022_42019502,-28.82,3.57,-35.40,3.30
AG-690_40639783,-23.09,3.95,-27.20,3.36
AE-641_30109045,-23.03,3.26,-31.15,2.16
AA-516_30041045,-28.92,2.53,-27.87,2.22
AJ-292_41694479,-18.31,4.50,-28.01,2.66
AO-022_43512702,-23.91,4.39,-28.17,2.23
AN-465_43421732,-12.32,6.35,-19.34,2.50
AK-778_40789025,-28.46,4.39,-30.46,2.68
AG-205_33688033,-20.38,3.74,-17.97,2.18
AN-329_43041406,-14.75,4.28,-23.93,2.41
AM-807_41928810,-16.28,3.56,-18.60,2.48
AG-205_12140308,-23.35,3.35,-26.69,2.59
AL-398_12677067,-22.19,4.21,-28.81,2.78
AK-778_41507544,-22.78,4.08,-24.91,2.59
AO-022_43454749,-11.68,5.11,-24.05,1.91
AN-465_41673515,-21.30,2.93,-20.12,2.04
AG-205_32547008,-27.47,3.30,-33.91,2.65
AN-465_41991241,-27.73,2.66,-25.12,2.21
AG-690_34684050,-26.98,3.87,-30.09,2.52
AG-205_05910026,-19.86,3.06,-29.83,2.15
AB-131_42301678,-11.85,4.46,-19.60,2.75
AO-022_43513010,-20.12,6.08,-23.38,3.65
AG-205_37150065,-32.06,4.34,-40.91,3.03
AK-778_43413419,-8.90,4.66,-15.72,2.40
AE-641_14825118,-13.32,3.75,-19.41,2.48
AF-399_42100572,-31.98,3.67,-37.05,3.08
AN-329_42294966,-28.33,3.77,-36.30,2.52
AK-778_43413657,-23.05,3.78,-21.31,2.08
AJ-292_42034781,-32.77,3.44,-37.71,2.75
AE-848_42025859,-21.32,4.20,-26.46,4.07
AO-022_43391394,-29.81,4.30,-27.41,3.05
AK-778_41182483,-11.69,4.65,-20.78,1.98
AO-022_43513728,-24.20,3.26,-29.31,2.86
AO-022_43455390,-20.81,6.66,-19.66,4.51
AK-778_41314663,-20.26,3.75,-26.25,2.51
AK-968_41017596,-16.19,4.19,-21.63,2.59
AG-690_12407154,-27.47,2.78,-28.99,2.31
AK-454_41565609,-20.74,3.53,-25.68,2.19
AG-690_15432558,-25.29,4.11,-27.72,2.84
AK-778_41050965,-15.75,4.26,-18.89,2.26
AE-641_00586018,-21.87,3.01,-23.43,2.27
AF-399_42176828,-16.78,4.05,-16.46,2.49
AK-968_40385359,-21.77,3.35,-22.21,2.45
AK-968_15360806,-16.84,4.46,-27.80,2.37
AK-968_13659320,-25.13,3.13,-25.64,2.32
AE-848_42799018,-30.58,3.91,-40.36,2.65
AM-807_14146178,-24.21,3.87,-25.90,3.11
AG-690_36278022,-26.07,3.73,-27.54,2.83
AN-465_41521818,-22.45,3.05,-26.75,2.30
AK-968_15611097,-28.12,4.74,-38.56,3.46
AK-778_43206436,-26.13,3.12,-29.62,2.60
AK-778_43115044,-24.72,2.86,-28.24,2.35
AO-080_41817293,-15.00,4.36,-16.68,2.89
AG-690_15434194,-21.21,3.54,-23.32,2.64
AG-690_13153470,-20.30,3.96,-27.24,2.76
AE-641_00613052,-26.77,3.67,-37.21,2.63
AK-778_41182482,-21.19,3.54,-23.65,2.06
AE-641_00776022,-26.69,5.00,-33.79,2.71
AK-778_43413650,-22.54,3.54,-22.35,2.35
AO-022_43452648,-28.81,3.40,-30.43,2.76
AG-690_15439883,-31.05,3.59,-29.64,2.92
AN-329_43336760,-18.41,4.39,-19.59,2.42
AG-205_12230088,-18.52,4.13,-20.56,2.50
AM-807_41928784,-22.72,3.64,-29.52,3.10
AG-205_37199128,-24.69,3.08,-25.35,2.71
AK-778_41050979,-19.24,3.57,-25.10,2.53
AK-778_41314655,-21.51,3.63,-24.78,3.54
AN-651_14405006,-15.79,3.22,-18.93,2.33
AI-942_13332183,-16.35,2.86,-16.69,1.98
AN-465_43369110,-12.92,4.69,-22.75,2.87
AG-205_08242042,-17.42,5.05,-21.47,3.10
AK-968_13659066,-25.14,4.07,-25.43,3.18
AN-512_12594139,-18.30,4.21,-21.04,2.23
AG-690_12891309,-17.84,3.16,-22.06,2.23
AO-022_43360884,-23.81,4.08,-29.01,2.78
AK-778_43114901,-17.61,3.24,-20.26,2.58
AG-690_11303018,-23.75,2.39,-25.89,2.12
AH-487_41801265,-21.56,4.60,-35.08,2.46
AO-022_43512967,-31.21,3.87,-32.47,2.95
AO-022_42379388,-24.04,4.79,-27.49,2.71
AN-465_43411601,-32.33,3.81,-36.50,3.36
AE-641_00604020,-24.21,4.74,-30.41,3.01
AG-690_36331037,-22.05,6.42,-19.02,4.48
AN-465_43411198,-26.53,3.65,-32.21,2.67
AM-807_41929708,-16.32,3.40,-17.06,2.47
AG-205_37199130,-21.30,4.43,-27.14,2.41
AN-329_40826221,-21.64,3.67,-27.96,1.96
AE-848_42799016,-26.38,4.04,-36.48,2.42
AM-807_41932273,-11.22,3.02,-7.96,2.76
AH-487_42192757,-32.31,4.26,-33.39,3.05
AG-690_15439252,-30.42,3.56,-30.35,2.80
AG-389_15454030,-27.35,3.50,-27.41,2.43
AE-641_30157003,-24.66,3.25,-29.17,2.73
AO-022_43391432,-18.76,3.55,-19.10,2.44
AO-040_40687636,-20.15,3.05,-19.96,2.53
AG-690_36991088,-27.09,5.17,-30.78,3.07
AG-690_15434761,-24.37,2.56,-26.13,1.85
AE-848_42799161,-28.96,4.49,-33.58,3.46
AO-080_41280531,-27.63,3.64,-30.47,2.56
AJ-292_15008709,-23.11,3.07,-25.57,2.26
AK-968_15360050,-24.19,4.17,-27.77,2.96
AI-061_33261028,-26.13,2.59,-23.66,2.44
AN-465_41520131,-27.34,4.21,-35.31,2.71
AJ-292_12333003,-23.04,3.16,-26.34,2.68
AG-690_11353227,-20.85,3.47,-22.37,3.57
AF-399_42100573,-30.54,3.45,-36.02,2.72
AK-778_41314653,-25.39,3.08,-27.61,2.50
AM-807_41928808,-12.26,3.85,-16.54,2.40
AM-807_41929810,-8.21,5.35,-12.02,2.76
AG-690_15432540,-20.52,4.71,-24.74,2.64
AJ-292_37229008,-24.07,3.37,-32.28,2.67
